Date,Net Worth
2018-01-11,16300.130000000006
2018-01-12,16271.880000000006
2018-01-17,16176.530000000006
2018-01-18,16174.850000000006
2018-01-22,16137.630000000006
2018-01-23,11137.630000000006
2018-01-23,11243.950000000006
2018-01-23,16243.950000000006
2018-01-24,19243.950000000004
2018-01-25,19242.040000000005
2018-01-26,19532.580000000005
2018-01-30,19242.040000000005
2018-01-30,19240.130000000005
2018-01-30,19202.130000000005
2018-01-31,19035.160000000003
2018-01-31,19045.570000000003
2018-01-31,19047.410000000003
2018-02-01,19040.110000000004
2018-02-01,19041.840000000004
2018-02-02,19038.860000000004
2018-02-02,18982.360000000004
2018-02-02,18962.230000000003
2018-02-05,18941.530000000002
2018-02-05,18927.780000000002
2018-02-06,18924.4
2018-02-06,18917.15
2018-02-09,18911.510000000002
2018-02-09,18798.510000000002
2018-02-12,18771.260000000002
2018-02-12,18731.030000000002
2018-02-12,18710.610000000004
2018-02-12,18701.860000000004
2018-02-13,18698.770000000004
2018-02-13,18679.710000000003
2018-02-23,18630.280000000002
2018-02-23,18560.33
2018-02-23,18345.56
2018-02-26,18678.11
2018-02-26,18669.55
2018-02-27,18649.55
2018-02-28,18662.52
2018-02-28,18663.99
2018-02-28,18331.440000000002
2018-03-01,18336.81
2018-03-03,18333.43
2018-03-06,18330.45
2018-03-08,18327.47
2018-03-08,18324.09
2018-03-11,18329.09
2018-03-12,18327.18
2018-03-20,18324.2
2018-03-26,17324.2
2018-03-28,16738.49
2018-03-31,16752.870000000003
2018-03-31,16754.410000000003
2018-04-01,16760.360000000004
2018-04-01,16774.360000000004
2018-04-06,16770.980000000003
2018-04-16,16713.770000000004
2018-04-23,16770.980000000003
2018-04-23,16894.840000000004
2018-04-24,16838.340000000004
2018-04-26,16985.710000000003
2018-04-26,16980.72
2018-04-26,16975.52
2018-04-26,16941.82
2018-04-30,16943.16
2018-04-30,16957.1
2018-04-30,16809.73
2018-05-01,16815.489999999998
2018-05-01,16494.329999999998
2018-05-02,16444.62
2018-05-03,16439.62
2018-05-07,16421.37
2018-05-09,16414.12
2018-05-14,16409.129999999997
2018-05-22,16404.309999999998
2018-05-24,16402.05
2018-05-24,16395.2
2018-05-25,16393.41
2018-05-26,16366.41
2018-05-27,16041.32
2018-05-28,16574.79
2018-05-30,17422.33
2018-05-30,16888.86
2018-05-30,20167.07
2018-05-30,20159.37
2018-05-30,20146.8
2018-05-31,20161.219999999998
2018-05-31,20162.62
2018-06-01,20168.57
2018-06-04,20160.67
2018-06-04,20149.989999999998
2018-06-04,20124.32
2018-06-05,20104.829999999998
2018-06-11,20099.839999999997
2018-06-11,20192.539999999997
2018-06-12,20189.149999999998
2018-06-13,20003.659999999996
2018-06-18,19997.459999999995
2018-06-18,19977.289999999997
2018-06-18,19962.899999999998
2018-06-18,19956.359999999997
2018-06-18,19930.359999999997
2018-06-18,19918.659999999996
2018-06-19,19913.409999999996
2018-06-25,19898.969999999998
2018-06-25,19890.289999999997
2018-06-25,19882.229999999996
2018-06-25,19862.229999999996
2018-06-25,19856.139999999996
2018-06-25,19850.719999999998
2018-06-26,19844.92
2018-06-26,19972.879999999997
2018-06-26,19980.87
2018-06-26,19972.879999999997
2018-06-26,19928.6
2018-06-26,19908.289999999997
2018-06-26,19877.03
2018-06-28,19749.07
2018-06-28,22743.35
2018-06-28,22732.17
2018-06-29,22725.399999999998
2018-06-30,22739.37
2018-06-30,22741.149999999998
2018-07-02,22734.379999999997
2018-07-02,22673.199999999997
2018-07-02,21759.03
2018-07-05,21909.03
2018-07-09,21892.149999999998
2018-07-09,21920.149999999998
2018-07-09,21891.899999999998
2018-07-12,21880.719999999998
2018-07-13,20880.719999999998
2018-07-13,20873.949999999997
2018-07-16,20869.199999999997
2018-07-16,20941.449999999997
2018-07-22,15472.419999999998
2018-07-22,20941.449999999997
2018-07-22,16591.449999999997
2018-07-23,16436.579999999998
2018-07-23,15582.309999999998
2018-07-23,15520.859999999997
2018-07-23,15509.569999999996
2018-07-23,15261.749999999996
2018-07-23,15250.459999999995
2018-07-24,11050.459999999995
2018-07-26,11070.769999999995
2018-07-26,12420.059999999994
2018-07-28,8920.059999999994
2018-07-30,7570.769999999994
2018-07-30,10722.479999999994
2018-07-31,10735.279999999993
2018-07-31,10737.249999999993
2018-08-02,10718.049999999992
2018-08-07,11632.219999999992
2018-08-13,6170.939999999992
2018-08-13,6168.849999999992
2018-08-14,6157.6999999999925
2018-08-14,6152.059999999992
2018-08-14,6241.109999999992
2018-08-16,6232.649999999992
2018-08-20,6222.9899999999925
2018-08-20,6214.229999999992
2018-08-20,6165.689999999992
2018-08-20,6159.149999999992
2018-08-21,5769.309999999992
2018-08-24,6017.129999999992
2018-08-24,5921.119999999992
2018-08-27,5864.619999999992
2018-08-27,6913.409999999992
2018-08-28,6885.159999999992
2018-08-29,6874.449999999992
2018-08-29,5825.659999999992
2018-08-30,5817.059999999991
2018-08-30,9101.229999999992
2018-08-31,9111.859999999991
2018-08-31,9112.90999999999
2018-08-31,9085.81999999999
2018-09-03,9068.939999999991
2018-09-04,9051.939999999991
2018-09-07,9038.549999999992
2018-09-10,9029.729999999992
2018-09-12,9022.229999999992
2018-09-17,9002.229999999992
2018-09-18,8965.909999999993
2018-09-18,8984.909999999993
2018-09-19,8977.519999999993
2018-09-24,8962.519999999993
2018-09-26,9071.049999999994
2018-09-27,9042.049999999994
2018-09-28,8933.519999999993
2018-09-28,8923.329999999993
2018-09-30,8933.629999999992
2018-09-30,8934.669999999993
2018-10-01,8929.369999999994
2018-10-02,8949.369999999994
2018-10-04,8933.339999999993
2018-10-08,8927.159999999993
2018-10-08,8923.139999999992
2018-10-08,8915.069999999992
2018-10-15,8901.869999999992
2018-10-22,8896.689999999991
2018-10-22,8884.029999999992
2018-10-23,8821.419999999991
2018-10-24,8785.419999999991
2018-10-24,8778.64999999999
2018-10-26,8883.589999999991
2018-10-28,8873.21999999999
2018-10-30,8768.27999999999
2018-10-31,8778.92999999999
2018-10-31,8779.989999999989
2018-11-02,8944.329999999989
2018-11-02,8928.539999999988
2018-11-04,8927.539999999988
2018-11-04,8847.539999999988
2018-11-04,8846.039999999988
2018-11-05,8839.259999999987
2018-11-05,8827.159999999987
2018-11-05,8802.309999999987
