Index,Date,Net Worth
96,2017-03-01,9932.53
97,2017-03-02,11215.060000000001
98,2017-03-08,11208.070000000002
99,2017-03-15,11204.820000000002
100,2017-03-16,12487.350000000002
101,2017-03-20,12487.570000000002
102,2017-03-21,12481.580000000002
103,2017-03-22,12456.970000000001
104,2017-03-22,12453.720000000001
105,2017-03-24,12418.720000000001
106,2017-03-27,12410.810000000001
107,2017-03-27,12684.710000000001
108,2017-03-27,12675.890000000001
109,2017-03-27,12656.910000000002
110,2017-03-29,12383.010000000002
111,2017-03-29,12379.760000000002
112,2017-03-30,13662.290000000003
113,2017-03-31,13672.660000000003
114,2017-03-31,13673.390000000003
115,2017-04-01,13677.950000000003
116,2017-04-04,13675.520000000002
117,2017-04-04,13673.090000000002
118,2017-04-05,13669.840000000002
119,2017-04-05,13680.110000000002
120,2017-04-10,13682.540000000003
121,2017-04-11,13685.750000000002
122,2017-04-11,13672.210000000001
123,2017-04-12,14954.740000000002
124,2017-04-12,14951.490000000002
125,2017-04-17,14944.140000000001
126,2017-04-17,14934.53
127,2017-04-19,14901.44
128,2017-04-19,15121.18
129,2017-04-19,15119.68
130,2017-04-21,15097.4
131,2017-04-22,9975.86
132,2017-04-24,9932.880000000001
133,2017-04-24,9916.130000000001
134,2017-04-24,9911.84
135,2017-04-26,9992.51
136,2017-04-27,11275.04
137,2017-04-28,11194.37
138,2017-04-30,11204.410000000002
139,2017-04-30,11183.420000000002
140,2017-04-30,11184.270000000002
141,2017-05-01,11166.590000000002
142,2017-05-02,11164.880000000003
143,2017-05-03,11135.320000000003
144,2017-05-05,11123.540000000003
145,2017-05-09,11117.670000000002
146,2017-05-10,11102.990000000002
147,2017-05-11,11077.840000000002
148,2017-05-11,11087.840000000002
149,2017-05-22,11059.590000000002
150,2017-05-24,10984.590000000002
151,2017-05-26,11194.320000000002
152,2017-05-30,10984.590000000002
153,2017-05-31,10994.980000000001
154,2017-05-31,11321.390000000001
155,2017-05-31,11322.010000000002
156,2017-05-31,11299.730000000001
157,2017-06-01,11296.240000000002
158,2017-06-02,11274.750000000002
159,2017-06-02,11253.260000000002
160,2017-06-02,11231.770000000002
161,2017-06-07,11189.780000000002
162,2017-06-07,11147.790000000003
163,2017-06-07,11126.300000000003
164,2017-06-12,11110.530000000002
165,2017-06-22,11108.270000000002
166,2017-06-26,11060.820000000002
167,2017-06-26,11225.010000000002
168,2017-06-28,11060.820000000002
169,2017-06-30,11070.880000000001
170,2017-06-30,11071.490000000002
171,2017-07-13,11038.740000000002
172,2017-07-26,11209.690000000002
173,2017-07-28,11038.740000000002
174,2017-07-31,11039.350000000002
175,2017-07-31,11049.750000000002
176,2017-08-02,6049.750000000002
177,2017-08-02,11049.750000000002
178,2017-08-02,4675.720000000002
179,2017-08-02,4674.370000000002
180,2017-08-04,4656.370000000002
181,2017-08-07,4634.5700000000015
182,2017-08-11,4619.350000000001
183,2017-08-11,4551.5700000000015
184,2017-08-16,4542.670000000002
185,2017-08-16,4516.690000000002
186,2017-08-21,4508.210000000003
187,2017-08-23,4493.5300000000025
188,2017-08-24,4489.7400000000025
189,2017-08-28,4541.840000000003
190,2017-08-30,4489.7400000000025
191,2017-08-31,4488.060000000002
192,2017-08-31,4488.480000000002
193,2017-08-31,4496.4900000000025
194,2017-09-04,4491.4900000000025
195,2017-09-04,4484.0300000000025
196,2017-09-04,4458.430000000002
197,2017-09-04,4433.2800000000025
198,2017-09-06,4183.2800000000025
199,2017-09-13,4173.680000000002
200,2017-09-13,4166.840000000002
201,2017-09-15,4165.160000000002
202,2017-09-18,4136.910000000002
203,2017-09-21,5368.3200000000015
204,2017-09-25,5353.910000000002
205,2017-09-25,5377.970000000002
206,2017-09-26,5377.980000000002
207,2017-09-26,5607.820000000002
208,2017-09-27,5599.910000000003
209,2017-09-28,5598.230000000002
210,2017-09-28,5368.390000000002
211,2017-09-30,5376.340000000002
212,2017-09-30,5376.760000000002
213,2017-10-02,5368.310000000002
214,2017-10-02,5345.710000000002
215,2017-10-02,5335.960000000002
216,2017-10-03,5329.190000000001
217,2017-10-03,5308.5700000000015
218,2017-10-04,5511.030000000002
219,2017-10-05,6860.140000000001
220,2017-10-17,6848.840000000001
221,2017-10-19,6847.260000000001
222,2017-10-19,8196.37
223,2017-10-20,8188.460000000001
